,Target,Available Business Disclosures,Disclosure,Sources,x,Source
0,1.1,"a.  A description of the approach to tax, including:",207-1,GRI 207: Tax 2019,,
1,,"i.   whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;",,,,
2,,ii.  the governance body or executive-level position within the organization that formally reviews,,,,
3,,"and approves the tax strategy, and the frequency of this review;",,,,
4,,iii.  the approach to regulatory compliance;,,,,
5,,iv.   how the approach to tax is linked to the business and sustainable development,,,,
6,,strategies of the organization.,,,,
7,1.1,"a.  A description of the tax governance and control framework, including:",207-2,GRI 207: Tax 2019,,
8,,i.  the governance body or executive-level position within the organization accountable for,,,,
9,,compliance with the tax strategy;,,,,
10,,ii.  how the approach to tax is embedded within the organization;,,,,
11,,"iii.   the approach to tax risks, including how risks are identified, managed, and monitored;",,,,
12,,iv.  how compliance with the tax governance and control framework is evaluated.,,,,
13,,b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the,,,,
14,,organization’s integrity in relation to tax.,,,,
15,,"c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to the",,,,
16,,"assurance report, statement, or opinion.",,,,
17,1.1,a.  A description of the approach to stakeholder engagement and management of stakeholder concerns,207-3,GRI 207: Tax 2019,,
18,,"related to tax, including:",,,,
19,,i.  the approach to engagement with tax authorities;,,,,
20,,ii.  the approach to public policy advocacy on tax;,,,,
21,,"iii.  the processes for collecting and considering the views and concerns of stakeholders, including",,,,
22,,external stakeholders.,,,,
23,1.1,The reporting organization shall report the following information:,207-4,GRI 207: Tax 2019,,
24,,a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial,,,,
25,,"statements, or in the financial information filed on public record, are resident for tax purposes.",,,,
26,,b.   For each tax jurisdiction reported in Disclosure 207-4-a:,,,,
27,,i.  Names of the resident entities;,,,,
28,,ii.  Primary activities of the organization;,,,,
29,,"iii.  Number of employees, and the basis of calculation of this number;",,,,
30,,iv.  Revenues from third-party sales;,,,,
31,,v.  Revenues from intra-group transactions with other tax jurisdictions;,,,,
32,,vi.  Profit/loss before tax;,,,,
33,,vii.  Tangible assets other than cash and cash equivalents;,,,,
34,,viii.  Corporate income tax paid on a cash basis;,,,,
35,,ix.  Corporate income tax accrued on profit/loss;,,,,
36,,x.   Reasons for the difference between corporate income tax accrued on profit/loss and the,,,,
37,,tax due if the statutory tax rate is applied to profit/loss before tax.,,,,
38,,c.  The time period covered by the information reported in Disclosure 207-4.,,,,
39,1.2,a.   When a significant proportion of employees are compensated based on wages subject to minimum,202-1,GRI 202: Market Presence,,
40,,"wage rules, report the relevant ratio of the entry level wage by gender at significant locations of",,2016,,
41,,operation to the minimum wage.,,,,
42,,b.   When a significant proportion of other workers (excluding employees) performing the organization’s,,,,
43,,"activities are compensated based on wages subject to minimum wage rules, describe the actions",,,,
44,,taken to determine whether these workers are paid above the minimum wage.,,,,
45,,"c.  Whether a local minimum wage is absent or variable at significant locations of operation, by gender.",,,,
46,,"In circumstances in which different minimums can be used as a reference, report which minimum",,,,
47,,wage is being used.,,,,
48,,d.   The definition used for ‘significant locations of operation’.,,,,
49,1.2,"a.   Examples of significant identified indirect economic impacts of the organization, including positive",203-2,GRI 203: Indirect,,
50,,and negative impacts.,,Economic Impacts 2016,,
51,,b.  Significance of the indirect economic impacts in the context of external benchmarks and stakeholder,,,,
52,,"priorities, such as national and international standards, protocols, and policy agendas.",,,,
53,1.3,"a.  A description of the approach to tax, including:",207-1,GRI 207: Tax 2019,,
54,,"i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;",,,,
55,,ii.   the governance body or executive-level position within the organization that formally reviews,,,,
56,,"and approves the tax strategy, and the frequency of this review;",,,,
57,,iii.  the approach to regulatory compliance;,,,,
58,,iv.  how the approach to tax is linked to the business and sustainable development strategies of the,,,,
