,Target,Available Business Disclosures,Source
0,1.1,"a.  A description of the approach to tax, including:, 
i.   whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;, 
ii.  the governance body or executive-level position within the organization that formally reviews, 
and approves the tax strategy, and the frequency of this review;, 
iii.  the approach to regulatory compliance;, 
iv.   how the approach to tax is linked to the business and sustainable development, 
strategies of the organization.","GRI 207: Tax 2019, 207-1"
1,1.1,"a.  A description of the tax governance and control framework, including:, 
i.  the governance body or executive-level position within the organization accountable for, 
compliance with the tax strategy;, 
ii.  how the approach to tax is embedded within the organization;, 
iii.   the approach to tax risks, including how risks are identified, managed, and monitored;, 
iv.  how compliance with the tax governance and control framework is evaluated., 
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the, 
organization’s integrity in relation to tax., 
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to the, 
assurance report, statement, or opinion.","GRI 207: Tax 2019, 207-2"
2,1.1,"a.  A description of the approach to stakeholder engagement and management of stakeholder concerns, 
related to tax, including:, 
i.  the approach to engagement with tax authorities;, 
ii.  the approach to public policy advocacy on tax;, 
iii.  the processes for collecting and considering the views and concerns of stakeholders, including, 
external stakeholders.","GRI 207: Tax 2019, 207-3"
3,1.1,"The reporting organization shall report the following information:, 
a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial, 
statements, or in the financial information filed on public record, are resident for tax purposes., 
b.   For each tax jurisdiction reported in Disclosure 207-4-a:, 
i.  Names of the resident entities;, 
ii.  Primary activities of the organization;, 
iii.  Number of employees, and the basis of calculation of this number;, 
iv.  Revenues from third-party sales;, 
v.  Revenues from intra-group transactions with other tax jurisdictions;, 
vi.  Profit/loss before tax;, 
vii.  Tangible assets other than cash and cash equivalents;, 
viii.  Corporate income tax paid on a cash basis;, 
ix.  Corporate income tax accrued on profit/loss;, 
x.   Reasons for the difference between corporate income tax accrued on profit/loss and the, 
tax due if the statutory tax rate is applied to profit/loss before tax., 
c.  The time period covered by the information reported in Disclosure 207-4.","GRI 207: Tax 2019, 207-4"
4,1.2,"wage rules, report the relevant ratio of the entry level wage by gender at significant locations of, 
operation to the minimum wage., 
b.   When a significant proportion of other workers (excluding employees) performing the organization’s, 
activities are compensated based on wages subject to minimum wage rules, describe the actions, 
taken to determine whether these workers are paid above the minimum wage., 
c.  Whether a local minimum wage is absent or variable at significant locations of operation, by gender., 
In circumstances in which different minimums can be used as a reference, report which minimum, 
wage is being used., 
d.   The definition used for ‘significant locations of operation’.","2016, 202-1"
5,1.2,"and negative impacts., 
b.  Significance of the indirect economic impacts in the context of external benchmarks and stakeholder, 
priorities, such as national and international standards, protocols, and policy agendas.","Economic Impacts 2016, 203-2"
6,1.2,a.   When a significant proportion of employees are compensated based on wages subject to minimum,"GRI 202: Market Presence, 202-1"
7,1.2,"a.   Examples of significant identified indirect economic impacts of the organization, including positive","GRI 203: Indirect, 203-2"
8,1.3,"a.  A description of the approach to tax, including:, 
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;, 
ii.   the governance body or executive-level position within the organization that formally reviews, 
and approves the tax strategy, and the frequency of this review;, 
iii.  the approach to regulatory compliance;, 
iv.  how the approach to tax is linked to the business and sustainable development strategies of the, 
organization.","GRI 207: Tax 2019, 207-1"
9,1.3,"a.  A description of the tax governance and control framework, including:, 
i.  the governance body or executive-level position within the organization accountable for, 
compliance with the tax strategy;, 
ii.  how the approach to tax is embedded within the organization;, 
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;, 
iv.  how compliance with the tax governance and control framework is evaluated., 
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the, 
organization’s integrity in relation to tax., 
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to the, 
assurance report, statement, or opinion.","GRI 207: Tax 2019, 207-2"
