,Target,Disclosure,Source
0,1.1,207-1,GRI 207: Tax 2019
7,1.1,207-2,GRI 207: Tax 2019
17,1.1,207-3,GRI 207: Tax 2019
23,1.1,207-4,GRI 207: Tax 2019
39,1.2,202-1,GRI 202: Market Presence
49,1.2,203-2,GRI 203: Indirect
53,1.3,207-1,GRI 207: Tax 2019
60,1.3,207-2,GRI 207: Tax 2019
70,1.3,207-3,GRI 207: Tax 2019
76,1.3,207-4,GRI 207: Tax 2019
92,1.4,203-2,GRI 203: Indirect
96,1.4,413-2-a,GRI 413: Local
99,2.3,411-1,GRI 411: Rights of
107,2.3,413-2-a,GRI 413: Local
110,3.2,401-2-a,GRI 401: Employment
120,3.3,403-6-b,GRI 403: Occupational
123,3.3,403-10,GRI 403: Occupational
142,3.4,403-10,GRI 403: Occupational
161,3.5,403-6-b,GRI 403: Occupational
164,3.6,403-9-a,GRI 403: Occupational
174,3.6,403-9-b,GRI 403: Occupational
185,3.6,403-9-c,GRI 403: Occupational
193,3.7,403-6-a,GRI 403: Occupational
195,3.7,403-6-b,GRI 403: Occupational
198,3.8,203-2,GRI 203: Indirect
202,3.8,403-6-a,GRI 403: Occupational
204,3.9,305-1,GRI 305: Emissions 2016
207,3.9,305-2,GRI 305: Emissions 2016
212,3.9,305-3,GRI 305: Emissions 2016
217,3.9,305-6-a,GRI 305: Emissions 2016
218,3.9,305-7,GRI 305: Emissions 2016
228,3.9,306-1,GRI 306: Waste 2020
232,3.9,306-2-a,GRI 306: Waste 2016
242,3.9,306-2-b,GRI 306: Waste 2016
253,3.9,306-2-a,GRI 306: Waste 2020
256,3.9,306-2-b,GRI 306: Waste 2020
259,3.9,306-2-c,GRI 306: Waste 2020
260,3.9,306-3-a,GRI 306: Waste 2016
261,3.9,306-3-a,GRI 306: Waste 2020
263,3.9,306-3-b,GRI 306: Waste 2016
270,3.9,306-3-c,GRI 306: Waste 2016
271,3.9,306-4-a,GRI 306: Waste 2016
276,3.9,306-4-a,GRI 306: Waste 2020
278,3.9,306-4-b,GRI 306: Waste 2016
279,3.9,306-4-b,GRI 306: Waste 2020
284,3.9,306-4-c,GRI 306: Waste 2020
289,3.9,306-4-d,GRI 306: Waste 2020
293,3.9,306-5-a,GRI 306: Waste 2020
295,3.9,306-5-b,GRI 306: Waste 2020
301,3.9,306-5-c,GRI 306: Waste 2020
307,3.9,306-5-d,GRI 306: Waste 2020
311,3.9,403-9-b,GRI 403: Occupational
322,3.9,403-9-c,GRI 403: Occupational
330,3.9,403-10,GRI 403: Occupational
349,4.3,404-1-a,GRI 404: Training and
353,4.4,404-1-a,GRI 404: Training and
357,4.5,404-1-a,GRI 404: Training and
361,5.1,202-1,GRI 202: Market Presence
371,5.1,401-1,GRI 401: Employment
375,5.1,404-1-a,GRI 404: Training and
379,5.1,401-3,GRI 401: Employment
386,5.1,404-3-a,GRI 404: Training and
388,5.1,405-1,GRI 405: Diversity and
397,5.1,405-2-a,GRI 405: Diversity and
399,5.1,406-1,GRI 406: Non-
406,5.2,408-1-a,GRI 408: Child Labor 2016
409,5.2,409-1-a,GRI 409: Forced Or
413,5.2,414-1-a,GRI 414: Supplier Social
415,5.2,414-2,GRI 414: Supplier Social
422,5.4,203-1,GRI 203: Indirect
426,5.4,401-2,GRI 401: Employment
437,5.4,401-3,GRI 401: Employment
444,5.5,102-22-a,GRI 102: General
454,5.5,102-24,GRI 102: General
461,5.5,405-1,GRI 405: Diversity and
470,6.3,303-1-a,GRI 303: Water and
474,6.3,303-1-c,GRI 303: Water and
477,6.3,303-2-a,GRI 303: Water and
484,6.3,303-4,GRI 303: Water
487,6.3,306-1,GRI 306: Waste 2020
491,6.3,306-2-a,GRI 306: Waste 2020
494,6.3,306-2-b,GRI 306: Waste 2020
497,6.3,306-2-c,GRI 306: Waste 2020
