,Target,Disclosure,Source
0,1.1,"207-1, 207-2, 207-3, 207-4","GRI 207: Tax 2019, GRI 207: Tax 2019, GRI 207: Tax 2019, GRI 207: Tax 2019"
1,1.2,"202-1, 203-2","GRI 202: Market Presence, GRI 203: Indirect"
2,1.3,"207-1, 207-2, 207-3, 207-4","GRI 207: Tax 2019, GRI 207: Tax 2019, GRI 207: Tax 2019, GRI 207: Tax 2019"
3,1.4,"203-2, 413-2-a, FS6, FS7, FS13, FS14, Former FS16, MM5, MM6, MM7, MM8, OG9, OG10, OG11, OG14, EU26, EU27, EU28, EU29, EU30, Former EU23, Former EU24, AO8, CRE7, EU22, former EU19, Former EU20, MM9, OG12","GRI 203: Indirect, GRI 413: Local, G4 Sector Disclosures 2008, G4 Sector Disclosures 2008, G4 Sector Disclosures 2008, G4 Sector Disclosures 2008, G4 Sector Disclosures 2008, G4 Sector Disclosures 2010, G4 Sector Disclosures 2010, G4 Sector Disclosures 2010, G4 Sector Disclosures 2010, G4 Sector Disclosures 2012, G4 Sector Disclosures 2012, G4 Sector Disclosures 2012, G4 Sector Disclosures 2012, G4 Sector Disclosures 2009, G4 Sector Disclosures 2009, G4 Sector Disclosures 2009, G4 Sector Disclosures 2009, G4 Sector Disclosures 2009, G4 Sector Disclosures 2010, G4 Sector Disclosures 2010, G4 Sector Disclosures 2011, G4 Sector Disclosure 2011, G4 Sector Disclosure 2009, G4 Sector Disclosure 2010, G4 Sector Disclosure 2010, G4 Sector Disclosure 2010, G4 Sector Disclosure 2012"
4,1.5,Former EU21,G4 Sector Disclosure 2010
5,10.2,"FS13, M4, Former FS16, FS14, FS7, M5, EO3, EO5, EO6, CRE8","G4 Sector Disclosure 2008, G4 Sector Disclosure 2012, G4 Sector Disclosure 2008, G4 Sector Disclosure 2008, G4 Sector Disclosure 2008, G4 Sector Disclosure 2012, G4 Sector Disclosure 2012, G4 Sector Disclosure 2012, G4 Sector Disclosure 2010, G4 Sector Disclosure 2011"
6,10.3,"102-8-a, 102-8-c, 401-1, 404-1-a, 404-3-a, 405-2-a","GRI 102: General, GRI 102: General, GRI 401: Employment, GRI 404: Training and, GRI 404: Training and, GRI 405: Diversity and"
7,10.4,"207-1, 207-2, 207-3, 207-4","GRI 207: Tax 2019, GRI 207: Tax 2019, GRI 207: Tax 2019, GRI 207: Tax 2019"
8,10.5,"Former FS9, Former FS5, FS10, FS11, Former FS15, Former FS1, Former FS2, Former FS4, Former FS3","G4 Sector Disclosure 2008, G4 Sector Disclosure 2008, G4 Sector Disclosure 2008, G4 Sector Disclosure 2008, G4 Sector Disclosure 2008, G4 Sector Disclosure 2008, G4 Sector Disclosure 2008, G4 Sector Disclosure 2008, G4 Sector Disclosure 2008"
9,11.1,FS7,G4 Sector Disclosure 2008
