,Target,Target,Available Business Disclosures,Disclosure
0,1.1,"1.1






1.1









1.1





1.1














","a.  A description of the approach to tax, including:
i.   whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;
ii.  the governance body or executive-level position within the organization that formally reviews
and approves the tax strategy, and the frequency of this review;
iii.  the approach to regulatory compliance;
iv.   how the approach to tax is linked to the business and sustainable development
strategies of the organization.
a.  A description of the tax governance and control framework, including:
i.  the governance body or executive-level position within the organization accountable for
compliance with the tax strategy;
ii.  how the approach to tax is embedded within the organization;
iii.   the approach to tax risks, including how risks are identified, managed, and monitored;
iv.  how compliance with the tax governance and control framework is evaluated.
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the
organization’s integrity in relation to tax.
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to the
assurance report, statement, or opinion.
a.  A description of the approach to stakeholder engagement and management of stakeholder concerns
related to tax, including:
i.  the approach to engagement with tax authorities;
ii.  the approach to public policy advocacy on tax;
iii.  the processes for collecting and considering the views and concerns of stakeholders, including
external stakeholders.
The reporting organization shall report the following information:
a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial
statements, or in the financial information filed on public record, are resident for tax purposes.
b.   For each tax jurisdiction reported in Disclosure 207-4-a:
i.  Names of the resident entities;
ii.  Primary activities of the organization;
iii.  Number of employees, and the basis of calculation of this number;
iv.  Revenues from third-party sales;
v.  Revenues from intra-group transactions with other tax jurisdictions;
vi.  Profit/loss before tax;
vii.  Tangible assets other than cash and cash equivalents;
viii.  Corporate income tax paid on a cash basis;
ix.  Corporate income tax accrued on profit/loss;
x.   Reasons for the difference between corporate income tax accrued on profit/loss and the
tax due if the statutory tax rate is applied to profit/loss before tax.
c.  The time period covered by the information reported in Disclosure 207-4.","207-1






207-2









207-3





207-4














"
1,1.2,"1.2









1.2


","a.   When a significant proportion of employees are compensated based on wages subject to minimum
wage rules, report the relevant ratio of the entry level wage by gender at significant locations of
operation to the minimum wage.
b.   When a significant proportion of other workers (excluding employees) performing the organization’s
activities are compensated based on wages subject to minimum wage rules, describe the actions
taken to determine whether these workers are paid above the minimum wage.
c.  Whether a local minimum wage is absent or variable at significant locations of operation, by gender.
In circumstances in which different minimums can be used as a reference, report which minimum
wage is being used.
d.   The definition used for ‘significant locations of operation’.
a.   Examples of significant identified indirect economic impacts of the organization, including positive
and negative impacts.
b.  Significance of the indirect economic impacts in the context of external benchmarks and stakeholder
priorities, such as national and international standards, protocols, and policy agendas.","202-1









203-2


"
2,1.3,"1.3






1.3









1.3





1.3














","a.  A description of the approach to tax, including:
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;
ii.   the governance body or executive-level position within the organization that formally reviews
and approves the tax strategy, and the frequency of this review;
iii.  the approach to regulatory compliance;
iv.  how the approach to tax is linked to the business and sustainable development strategies of the
organization.
a.  A description of the tax governance and control framework, including:
i.  the governance body or executive-level position within the organization accountable for
compliance with the tax strategy;
ii.  how the approach to tax is embedded within the organization;
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;
iv.  how compliance with the tax governance and control framework is evaluated.
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior and the
organization’s integrity in relation to tax.
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to the
assurance report, statement, or opinion.
a.   A description of the approach to stakeholder engagement and management of stakeholder concerns
related to tax, including:
i.  the approach to engagement with tax authorities;
ii.  the approach to public policy advocacy on tax;
iii.   the processes for collecting and considering the views and concerns of stakeholders, including
external stakeholders.
The reporting organization shall report the following information:
a.  All tax jurisdictions where the entities included in the organization’s audited consolidated financial
statements, or in the financial information filed on public record, are resident for tax purposes.
b.  For each tax jurisdiction reported in Disclosure 207-4-a:
i.  Names of the resident entities;
ii.  Primary activities of the organization;
iii.  Number of employees, and the basis of calculation of this number;
iv.  Revenues from third-party sales;
v.  Revenues from intra-group transactions with other tax jurisdictions;
vi.  Profit/loss before tax;
vii.  Tangible assets other than cash and cash equivalents;
viii.  Corporate income tax paid on a cash basis;
ix.  Corporate income tax accrued on profit/loss;
x.   Reasons for the difference between corporate income tax accrued on profit/loss and the tax due
if the statutory tax rate is applied to profit/loss before tax.
c.  The time period covered by the information reported in Disclosure 207-4.","207-1






207-2









207-3





207-4














"
3,1.4,"1.4



1.4


1.4

1.4

1.4
1.4
1.4
1.4


1.4

1.4

1.4


1.4

1.4
1.4

1.4
1.4
1.4

1.4
1.4
1.4
1.4

1.4

1.4

1.4

1.4

1.4

1.4
1.4

1.4
","a.  Examples of significant identified indirect economic impacts of the organization, including positive
and negative impacts.
b.   Significance of the indirect economic impacts in the context of external benchmarks and stakeholder
priorities, such as national and international standards, protocols, and policy agendas.
Operations with significant actual and potential negative impacts on local communities, including:
i.  The location of the operations;
ii.  The significant actual and potential negative impacts of operations.
Percentage of the portfolio for business lines by specific region, size (e.g. micro/sme/large) and by
sector
Monetary value of products and services designed to deliver a specific social benefit for each business
line broken down by purpose
Access points in low-populated or economically disadvantaged areas by type
Initiatives to improve access to financial services for disadvantaged people
Initiatives to enhance financial literacy by type of beneficiary
Total number of operations taking place in or adjacent to indigenous peoples’ territories, and number
and percentage of operations or sites where there are formal agreements with indigenous peoples’
communities
Number and description of significant disputes relating to land use, customary rights of local
communities and indigenous peoples
The extent to which grievance mechanisms were used to resolve disputes relating to land use,
customary rights of local communities and indigenous peoples, and the outcomes
Number (and percentage) of company operating sites where artisanal and small-scale mining (asm)
takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and
mitigate these risks
Operations where indigenous communities are present or affected by activities and where specific
engagement strategies are in place
Number and description of significant disputes with local communities and indigenous peoples
Number of sites that have been decommissioned and sites that are in the process of being
decommissioned
Volume of biofuels produced and purchased meeting sustainability criteria
Percentage of population unserved in licensed distribution or service areas
Number of residential disconnections for non-payment, broken down by duration of disconnection and by
regulatory regime
Power outage frequency
Average power outage duration
Average plant availability factor by energy source and by regulatory regime
Programs, including those in partnership with government, to improve or maintain access to electricity
and customer support services
Practices to address language, cultural, low literacy and disability related barriers to access and safely
use electricity and customer support services
Number of persons physically or economically displaced, either voluntarily or involuntarily, by the airport
operator or on its behalf by a governmental or other entity, and compensation provided
Number of persons voluntarily and involuntarily displaced and/or resettled by development, broken down
by projec
Number of people physically or economically displaced and compensation, broken down by type of
project
Stakeholder participation in decision making processes related to energy planning and infrastructure
development
Approach to managing the impacts of displacement
Sites where resettlements took place, the number of households resettled in each, and how their
livelihoods were affected in the process
Operations where involuntary resettlement took place, the number of households resettled in each and
how their livelihoods were affected in the process","203-2



413-2-a


FS6

FS7

FS13
FS14
Former FS16
MM5


MM6

MM7

MM8


OG9

OG10
OG11

OG14
EU26
EU27

EU28
EU29
EU30
Former EU23

Former EU24

AO8

CRE7

EU22

former EU19

Former EU20
MM9

OG12
"
4,1.5,"1.5
","Contingency planning measures, disaster/emergency management plan and training programs, and
recovery/restoration plans","Former EU21
"
5,10.2,"10.2
10.2

10.2
10.2
10.2

10.2


10.2

10.2
10.2
10.2
","Access points in low-populated or economically disadvantaged areas by type
Actions taken to improve performance in relation to content dissemination issues (accessibility and
protection of vulnerable audiences and informed decision making) and results obtained
Initiatives to enhance financial literacy by type of beneficiary
Initiatives to improve access to financial services for disadvantaged people
Monetary value of products and services designed to deliver a specific social benefit for each business
line broken down by purpose
Number and nature of responses (feedback/complaints) related to content dissemination, including
protection of vulnerable audiences and informed decision making and accessibility, and processes for
addressing these responses
Significant environmental and socio-economic impacts of transporting attendees to and from the event,
and initiatives taken to address the impacts
Type and impacts of initiatives to create a socially inclusive event
Type and impacts of initiatives to create an accessible environment
Type and number of sustainability certification, rating and labeling schemes for new construction,
management, occupation and redevelopment","FS13
M4

Former FS16
FS14
FS7

M5


EO3

EO5
EO6
CRE8
"
6,10.3,"10.3

10.3

10.3



10.3



10.3

10.3
","Total number of employees by employment contract (permanent and temporary), by gender.

Total number of employees by employment type (full-time and part-time), by gender.

a.  Total number and rate of new employee hires during the reporting period, by age group, gender and
region.
b.   Total number and rate of employee turnover during the reporting period, by age group, gender and
region.
Average hours of training that the organization’s employees have undertaken during the reporting
period, by:
i.  Gender;
ii.  Employee category.
Percentage of total employees by gender and by employee category who received a regular
performance and career development review during the reporting period.
Ratio of the basic salary and remuneration of women to men for each employee category, by significant
locations of operation.","102-8-a

102-8-c

401-1



404-1-a



404-3-a

405-2-a
"
7,10.4,"10.4






10.4









10.4





10.4














","a.  A description of the approach to tax, including:
i.  whether the organization has a tax strategy and, if so, a link to this strategy if publicly available;
ii.  the governance body or executive-level position within the organization that formally reviews
and approves the tax strategy, and the frequency of this review;
iii.   the approach to regulatory compliance;
iv.  how the approach to tax is linked to the business and sustainable development strategies of the
organization.
a.   A description of the tax governance and control framework, including:
i.   the governance body or executive-level position within the organization accountable for
compliance with the tax strategy;
ii.   how the approach to tax is embedded within the organization;
iii.  the approach to tax risks, including how risks are identified, managed, and monitored;
iv.   how compliance with the tax governance and control framework is evaluated.
b.   A description of the mechanisms for reporting concerns about unethical or unlawful behavior
and the organization’s integrity in relation to tax.
c.   A description of the assurance process for disclosures on tax and, if applicable, a reference to
the assurance report, statement, or opinion.
a.  A description of the approach to stakeholder engagement and management of stakeholder
concerns related to tax, including:
i.  the approach to engagement with tax authorities;
ii.   the approach to public policy advocacy on tax;
iii.  the processes for collecting and considering the views and concerns of stakeholders, including
external stakeholders.
a.   All tax jurisdictions where the entities included in the organization’s audited consolidated
financial statements, or in the financial information filed on public record, are resident for tax
purposes.
b.   For each tax jurisdiction reported in Disclosure 207-4-a:
i.  Names of the resident entities;
ii.  Primary activities of the organization;
iii.  Number of employees, and the basis of calculation of this number;
iv.  Revenues from third-party sales;
v.  Revenues from intra-group transactions with other tax jurisdictions;
vi.  Profit/loss before tax;
vii.  Tangible assets other than cash and cash equivalents;
viii.  Corporate income tax paid on a cash basis;
ix.  Corporate income tax accrued on profit/loss;
x.  Reasons for the difference between corporate income tax accrued on profit/loss and the tax due
if the statutory tax rate is applied to profit/loss before tax.
c. The time period covered by the information reported in Disclosure 207-4","207-1






207-2









207-3





207-4














"
8,10.5,"10.5

10.5

10.5

10.5
10.5
10.5
10.5
10.5

10.5
","Coverage and frequency of audits to assess implementation of environmental and social policies and
risk assessment procedures
Interaction with clients/investees/business partners regarding environmental and social risks and
opportunities
Percentage and number of companies held in the institution's portfolio with which the reporting
organisation has interacted on environmental or social issues
Percentage of assets subject to positive and negative environmental or social screening
Policies for the fair design and sale of financial products and services
Policies with specific environmental and social components applied to business lines
Procedures for assessing and screening environmental and social risks in business lines
Process(es) for improving staff competency to implement the environmental and social policies and
procedures as applied to business lines
Processes for monitoring clients' implementation of and compliance with environmental and social
requirements included in agreements or transactions","Former FS9

Former FS5

FS10

FS11
Former FS15
Former FS1
Former FS2
Former FS4

Former FS3
"
9,11.1,"11.1
","Monetary value of products and services designed to deliver a specific social benefit for each business
line broken down by purpose","FS7
"
