,id,"A. COHBP & 
definition","B. Example metrics 
per COH4B","C. GRI 
Standards",D. GRI disclosures,"E. Comments on GRI 
disclosures",GRI Standards
0,1.,"Health culture: 
Promoting an 
organizational culture 
of health (over and 
above wellness and 
health promotion 
program)","Inclusion of health 
in company’s value 
statements; Senior 
leaders express value and 
importance of health; 
Company systematically 
and consistently integrates 
health into their activities","GRI 102: General 
Disclosures (2016)
GRI 103: 
Management 
Approach (2016)","Disclosure 102-16 Values, 
Principles, Standards, 
and Norms of Behavior: 
102-16-a
Disclosure 102-26 Role of 
highest governance body 
in setting purpose, values, 
and strategy: 102-26-a
Disclosure 102-28 
Evaluating the highest 
governance body’s 
performance
Disclosure 103-2 
Management Approach 
and its Components: 103-
2-a to c","102 and 103 can be used to 
report on a broad set of ESG 
issues including health and 
well-being.
Although not included in COH4B, 
the following metrics were 
highlighted as important issues 
by the Corporate Task Force 
and appear to broadly fit under 
Health Culture and can be 
reported as follows: 
•  Accountability of C-Suite 
to health and well-being 
KPIs can be reported under 
102-28.
•  Level of organizational 
commitment as indicated 
by financial resources 
committed to health can be 
reported under 103-2-c-v.
•  KPIs on health and well-
being can be reported 
under 103-3-a-ii. The GRI 
guidance says that “the 
explanation of these results 
can include: performance 
against goals and targets, 
including key successes and 
shortcomings.”",102-16
1,2.,"Responsible 
corporate political 
activity: Activity that 
shapes public policy or 
public opinion","Disclosure of 
contributions to political 
candidates, parties, and 
committees; Disclosure 
of contributions to Super 
PACs; Disclosure of 
trade associations and 
501(c)(4) social welfare 
organizations; Lobbying 
expenses","GRI 415: Public Policy 
(2016)","Disclosure 415-1 Political 
Contributions: 415-1-a, 
415-1-b","Although the example metrics 
for this COHBP are US-
centric, the GRI disclosures 
are expressed in universal 
terms to enable reporting by 
companies in any country. For 
example, 415-1-a states “Total 
monetary value of financial and 
in-kind political contributions 
made directly and indirectly by 
the organization by country and 
recipient/beneficiary.”",415-1
2,3.,"Responsible 
marketing practices: 
Commitments to 
responsible marketing 
including labeling 
transparency","% promoting products 
meeting the Children’s 
Food and Beverage 
Initiative (CFBAI) Uniform
Nutrition Criteria; # 
of child advertising 
impressions","GRI 417: Marketing 
and Labeling (2016)","Disclosure 417-1 
Requirements for product 
and service information 
and labeling: 417-1-a-(i) to 
(v), 417-1-b
Disclosure 417-2 Incidents 
of non-compliance 
concerning product and 
service information and 
labeling: 417-2-a-(i) to (iii), 
417-2-b
Disclosure 417-3 Incidents 
of non-compliance 
concerning marketing 
communications: 417-3-a 
(i) to (iii), 417-3-b","Although the example metrics 
for this COHBP are US-
centric, the GRI disclosures are 
expressed in universal terms to 
enable reporting by companies 
in any country. For example, 
417-1-a states “Total number 
of incidents of non-compliance 
with regulations and/or voluntary 
codes concerning marketing 
communications, including 
advertising, promotion, and 
sponsorship.”",417-1
3,4.,"Health promotion 
& wellness: Health 
initiatives that generally 
offer screening, 
prevention and health 
promotion","Employees entitled to 
health and well-being 
programs and services; 
Health outcomes of 
employees reached by 
health and well-being 
programs","GRI 403: 
Occupational Health 
and Safety (2018)","Disclosure  403-6 
Promotion of worker 
health: 403-6-a, 403-6-b
Disclosure 403-3 
Occupational health 
services
Reporting 
Recommendations: 
Clause 403-3-1.3.1 and 
Clause 403-3-1.3.2","Although not included in 
COH4B, protecting the privacy 
of employees was highlighted 
as an important issue by the 
Corporate Task Force as 
companies offer employees 
digital health and virtual well-
being tools. Data privacy 
can be reported under the 
Reporting Recommendations 
for GRI 403-3. These are:
•  1.3.1  How the organization 
maintains the confidentiality 
of workers’ personal health-
related information; 
•  1.3.2  How the organization 
ensures that workers’ 
personal health-related 
information and their 
participation in any 
occupational health services 
is not used for any favorable 
or unfavorable treatment of 
workers.",403-6
4,5.,"Paid family and 
medical leave: 
Allowing employees to 
earn pay while away 
attending to illness, 
a family member or 
newborn","Total # of employees that 
were entitled by parental 
leave, by gender; Return 
to work and retention 
rates of employees that
took parental leave, by 
gender","GRI 401: 
Employment (2016)","Disclosure 401-2 Benefits 
provided to full-time 
employees that are not 
provided to temporary 
or part-time employees: 
401-2-a-vii
Disclosure 401-3  Parental 
Leave: 401-3- a to e","Paid sick leave can be reported 
under 401-2-a-vii.",401-2
5,6.,"Health insurance: 
Providing employer-
based health insurance","% of employees entitled to 
health insurance benefits; 
Employer contribution to
health insurance premiums","GRI 401: 
Employment (2016)
GRI 403: 
Occupational Health 
and Safety (2018)","Disclosure 401-2 Benefits 
provided to full-time 
employees that are not 
provided to temporary or 
part-time employees: 401-
2-a-(i) to (vii), 401-2-b
Disclosure 403-6 
Promotion of worker 
health: 403-6-a","Responsibility and expectations 
for companies to provide 
health insurance to workers 
varies significantly by country.
Guidance for 403-6-a indicates 
that “Workers’ access to 
non-occupational medical and 
healthcare services might be 
facilitated, for example, through 
company clinics, or disease 
treatment programs, referral 
systems, or health insurance or 
financial contributions”",401-2
6,7.,"Equality, diversity 
& impartiality: 
Managing inequality, 
discrimination and 
diversity, including 
disability","% of employees per 
employee category 
by gender, age group, 
and other indicators of 
diversity; # of incidents 
of discrimination; % of 
employees with disabilities","GRI 405: Diversity 
and Equal 
Opportunity (2016)
GRI 406: Non-
discrimination (2016)","Disclosure 405-1 Diversity 
of governance bodies and 
employees: 405-1-a-(i) to 
(iii), 405-1-b-(i) to (iii)
Disclosure 405-2 Ratio 
of basic salary and 
remuneration of women 
to men: 405-2-a, 405-2-b
Disclosure 406-1 Incidents 
of discrimination and 
corrective actions taken: 
406-a, 406-b-(i) to (iv)","Interpretation of the term 
diversity and indicators of 
diversity vary by country and 
companies can use GRI 406 to 
discuss non-discrimination in 
ways that are relevant to their 
local context.
Disclosures 405-1 and 405-2 
can be considered a proxy 
for understanding gender 
discrimination.",405-1
7,8.,"Financial literacy: 
Providing financial  
literacy resources","Employees entitled to 
financial literacy training; 
Number of employees 
reached by financial 
literacy training","G4 Sector 
Disclosures: Financial 
Services G4 Aspect: 
Product and Service 
Labeling","Initiatives to enhance 
financial literacy by type of 
beneficiary (former FS16)
2.1 to 2.3","G4 Sector Disclosures precede 
the GRI Standards issued in 
2016. Companies including G4 
Sector Disclosures in reports 
prepared in accordance with 
the GRI Standards are required 
to list these disclosures in 
the GRI content index (see 
Disclosure 102-55 in GRI 102: 
General Disclosures). 
Companies can choose how 
to present these disclosures 
in the GRI content index. For 
example, they can list all Sector 
Disclosures together, or under 
the relevant material topic. See 
an example of a GRI content 
index on page 40 of GRI 102.",No value :(
8,9.,"Work time: 
Managing working  
hours, schedules and 
schedule control","Notice given to employees 
for schedule changes; # 
of employees with flexible 
scheduling arrangements","GRI 402: Labor/
Management 
Relations (2016)
GRI 102: General 
Disclosures (2016)","Disclosure 402-1 
Minimum notice period 
regarding operational 
changes: 402-1-a, 402-1-b
Disclosure 102-8 
Information on  employees 
and other workers: 102-
8-a to f","Disclosure 102-8 can be 
used to share data on # 
of employees with flexible 
scheduling arrangements.",402-1
9,10.,"Job security: 
Managing job 
insecurity as 
perceived (by 
the employee) 
or attributed (by 
researchers)","# of employees laid off 
in the past year; Notice 
given to employees/ 
representatives prior to 
significant operational 
changes","GRI 401: 
Employment (2016)
GRI 402: Labor/
Management 
Relations (2016)","Disclosure 401-1 New 
employee hires and 
employee turnover: 401-
1-a, 404-1-b
Disclosure 402-1 
Minimum notice period 
regarding operational 
changes: 402-1-a, 402-1-b","Disclosure 402-1 can be used 
to share information on all 
types of workers impacted 
by operational changes and 
especially unionized and 
contract workers.",401-1
